NOMBRE,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PCM1,SINAP,,,
Mariposa Monarca,Centro y Eje Neovolcánico,56259.05073,56259.05073,0,11/10/2000,11/3/2009,4/30/2001,SINAP,0,0,
Bosencheve,Centro y Eje Neovolcánico,14599.61686,14599.61686,0,8/1/1940,8/1/1940,NA,NA,0,0,
Arrecifes de Sian Ka'an,Península de Yucatán y Caribe Mexicano,34927.1584,1361.001633,33566.15677,2/2/1998,2/2/1998,6/13/2011,SINAP,1,1,
Cabo Pulmo,Península de Baja California y Pacífico Norte,7111.01,38.857842,7072.152158,6/6/1995,6/7/2000,11/13/2009,SINAP,1,1,
Arrecife Alacranes,Península de Yucatán y Caribe Mexicano,333768.505,53.001756,333715.5032,6/6/1994,6/7/2000,11/29/2007,SINAP,1,1,
Bahía de Loreto,Península de Baja California y Pacífico Norte,206580.75,21692.07876,184888.6712,7/19/1996,1/6/2003,4/23/2019,SINAP,1,1,
Boquerón de Tonalá,"Frontera Sur, Istmo y Pacífico Sur",3912.315812,3912.315812,0,9/22/2008,9/22/2008,4/3/2013,NA,0,0,
Cabo San Lucas,Península de Baja California y Pacífico Norte,3996.049136,208.0535,3787.995636,11/29/1973,6/7/2000,NA,NA,1,1,
Cuatrociénegas,Noreste y Sierra Madre Oriental,84347.47,84347.47,0,11/7/1994,11/7/1994,3/24/2000,SINAP,0,0,
Cumbres de Monterrey,Noreste y Sierra Madre Oriental,177395.9546,177395.9546,0,11/17/2000,11/17/2000,NA,NA,0,0,
El Chico,Centro y Eje Neovolcánico,2739.0263,2739.0263,0,7/6/1982,7/6/1982,8/27/2009,NA,0,0,
El Potosí,Noreste y Sierra Madre Oriental,2000,2000,0,9/15/1936,9/15/1936,10/29/2015,NA,0,0,
El Triunfo,"Frontera Sur, Istmo y Pacífico Sur",119177.29,119177.29,0,3/13/1990,5/15/1990,9/15/2000,SINAP,0,0,
Islas Marías,Occidente y Pacífico Centro,641284.7374,24295.16619,616989.5712,11/27/2000,11/27/2000,6/10/2011,NA,1,1,
Islas Marietas,Occidente y Pacífico Centro,1383.019695,71.163268,1311.856427,4/25/2005,4/25/2005,2/25/2011,NA,1,1,
La Encrucijada,"Frontera Sur, Istmo y Pacífico Sur",144868.1588,115652.7341,29215.42463,6/6/1995,6/6/1995,9/13/2000,SINAP,1,1,
La Sepultura,"Frontera Sur, Istmo y Pacífico Sur",167309.8625,167309.8625,0,6/6/1995,6/6/1995,9/15/2000,SINAP,0,0,
Laguna de Términos,Planicie Costera y Golfo de México,706147.67,547278.7051,158868.9649,6/6/1994,6/6/1994,6/4/1997,SINAP,1,1,
Laguna Madre y Delta del Río Bravo,Planicie Costera y Golfo de México,572808.6094,572808.6094,0,4/14/2005,4/14/2005,7/9/2015,SINAP,0,1,
Ría Celestún,Península de Yucatán y Caribe Mexicano,81482.33446,61926.57419,19555.76027,11/27/2000,11/27/2000,11/22/2002,SINAP,1,1,
Los Petenes,Península de Yucatán y Caribe Mexicano,282857.6271,100866.5252,181991.1019,5/24/1999,5/24/1999,4/22/2009,SINAP,1,1,
Metzabok,"Frontera Sur, Istmo y Pacífico Sur",3368.35875,3368.35875,0,9/23/1998,9/23/1998,1/6/2009,NA,0,0,
Barranca de Metztitlán,Centro y Eje Neovolcánico,96042.94702,96042.94702,0,11/27/2000,11/27/2000,3/11/2003,SINAP,0,0,
Pantanos de Centla,Planicie Costera y Golfo de México,302706.625,302706.625,0,8/6/1992,8/6/1992,9/26/2000,SINAP,0,1,
Selva El Ocote,"Frontera Sur, Istmo y Pacífico Sur",101288.1513,101288.1513,0,10/20/1982,11/27/2000,12/19/2001,SINAP,0,0,
Sian Ka'an,Península de Yucatán y Caribe Mexicano,528147.668,375011.87,153135.798,1/20/1986,6/7/2000,1/23/2015,SINAP,1,1,
Sierra de Manantlán,Occidente y Pacífico Centro,139577.125,139577.125,0,3/23/1987,3/23/1987,11/17/2007,SINAP,0,0,
Tehuacán-Cuicatlán,Centro y Eje Neovolcánico,490186.8755,490186.8755,0,9/18/1998,9/18/1998,6/8/2012,SINAP,0,0,
Uaymil,Península de Yucatán y Caribe Mexicano,89118.15355,89118.15355,0,11/17/1994,11/23/1994,5/3/2011,SINAP,0,0,
"Z.P.F.T.C.C. de los ríos Valle de Bravo, Malacatepec, Tilostoc y Temascaltepec",Centro y Eje Neovolcánico,140234.4262,140234.4262,0,11/15/1941,6/23/2005,11/30/2018,SINAP,0,0,
Arrecifes de Xcalak,Península de Yucatán y Caribe Mexicano,17949.4562,4521.838534,13427.61767,11/27/2000,11/27/2000,10/8/2004,SINAP,1,1,
Playa Mexiquillo,Occidente y Pacífico Centro,73.637834,73.637834,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de Maruata y Colola,Occidente y Pacífico Centro,219.936509,219.936509,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de Rancho Nuevo,Planicie Costera y Golfo de México,90.652692,90.652692,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa Piedra de Tlacoyunque,Occidente y Pacífico Centro,99.593815,99.593815,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa El Verde Camacho,Noroeste y Alto Golfo de California,96.646291,96.646291,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa Ceuta,Noroeste y Alto Golfo de California,144.153483,144.153483,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de Tierra Colorada,"Frontera Sur, Istmo y Pacífico Sur",138.575426,138.575426,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa Teopa,Occidente y Pacífico Centro,30.285873,30.285873,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa Cuitzmala,Occidente y Pacífico Centro,20.927299,20.927299,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de Puerto Arista,"Frontera Sur, Istmo y Pacífico Sur",212.485732,212.485732,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de Mismaloya,Occidente y Pacífico Centro,628.446882,628.446882,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa adyacente a la localidad denominada Río Lagartos,Península de Yucatán y Caribe Mexicano,606.399895,606.399895,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de la Isla Contoy,Península de Yucatán y Caribe Mexicano,10.213966,10.213966,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa de Escobilla,"Frontera Sur, Istmo y Pacífico Sur",146.094552,146.094552,0,10/29/1986,7/16/2002,NA,NA,0,1,
Playa El Tecuán,Occidente y Pacífico Centro,36.338327,36.338327,0,10/29/1986,7/16/2002,NA,NA,0,1,
