cve_ent,cve_mun,cve_loc,cve_ageb,nomloc
7,31,139,155,Guadalupe Paxilá
7,31,272,32,El Piñal
7,31,360,66,Nazareth
7,31,439,102,Tzajalá
7,31,459,28,La Pimienta
7,31,861,47,Patelna 2da. Sección
7,32,149,59,Zacualpa Dos
7,32,264,59,Ricardo Flores Magón
7,32,316,59,Guadalupe
7,33,4,37,Azapac Amatal
7,34,6,53,Benito Juárez
7,34,28,72,El Jocote
7,34,58,91,El Portal
7,34,80,68,Tres Pinos
7,34,125,87,Agua Zarca
7,34,219,68,Santa Apolonia
7,34,421,87,Nuevo Mexicalapa
7,35,89,12,Texcaltic
7,37,137,36,Tepehuitz
7,37,151,106,Santa Elena
7,38,3,48,Carmen Yalchuch
7,38,11,14,Jocosic
7,38,13,14,Lázaro Cárdenas (Chilil)
7,38,114,14,San José el Porvenir
7,39,48,45,El Ocotal
7,39,195,45,Dieciocho de Abril
7,40,26,007A,Cantón las Delicias
7,40,380,007A,La Ceiba
7,40,433,65,Cantón las Lechugas 2
7,41,572,128,Santa Martha
7,44,2,30,Aztlán (Rancho Nuevo)
7,45,45,19,Jana 2da. Sección
7,46,361,004A,Llano Grande
7,46,362,004A,Absalón Castellanos Domínguez
7,47,51,28,Plan Paredón
7,48,16,003A,Mario Aguilera Dorantes
7,48,34,82,El Triunfo 2da. Sección
7,49,25,18,Mehono
7,49,29,18,Naxoch
7,49,81,18,Chuchiltón Anexo Potobtic Dos
7,51,882,143,Francisco I. Madero
7,52,28,278,Chiapas
7,52,33,259,La Esperanza
7,52,39,259,Gabino Vázquez San Sebastián
7,52,90,70,Piedra Huixtla
7,52,165,140,Plan de Santo Tomás
7,52,169,102,Santa Rita Sonora
7,52,206,386,La Fortuna Gallo Giro
7,52,239,174,Plan de Agua Prieta
7,52,286,348,Francisco Villa
7,52,312,030A,Santa Margarita Agua Azul
7,52,335,023A,San Mateo Zapotal
7,52,369,259,La Nueva Esperanza
7,52,454,030A,Rizo de Oro
7,52,464,329,San Rafael
7,52,605,193,Victoria la Paz
7,52,654,333,Nuevo Plan de Ayala
7,52,847,225,El Caracolito
7,52,869,333,La Esmeralda de los Cipreses
7,52,881,51,Santuario Anexo Justo Sierra
7,52,888,278,San José la Esperanza
7,52,902,136,Victórico R. Grajales
7,54,40,56,El Triunfo I (Santa Cruz)
7,54,134,37,Vicente Guerrero
7,55,4,15,Candelaria
7,55,5,15,Los Hules
7,57,5,62,Nueva Independencia (Ampliación Calera)
7,57,480,62,Lubeca
7,57,575,62,La Ceiba
7,59,12,122,Arroyo Granizo
7,59,31,423,Santa María de las Flores
7,59,106,137,El Limonar
7,59,161,90,San Antonio la Sombra
7,59,204,902,San Quintín
7,59,231,025A,Miramar
7,59,605,137,Nuevo Francisco León
7,59,615,207,El Paraíso
7,59,672,52,Nuevo Ojo de Agua
7,59,769,137,Francisco Villa
7,59,770,137,Nuevo Guerrero
7,59,1041,512,Nupja Chiviltic
7,59,1154,264,Nuevo Jerusalén
7,59,1340,29,Nueva Samaria
7,59,1460,025A,El Carmen
7,59,1484,025A,Sloquib Chay
7,59,1522,404,San Antonio las Flores
7,59,1731,423,Chalam del Carmen San Agustín
7,59,1822,349,Rafael Moreno
7,59,2054,917,Emiliano Zapata
7,59,2792,207,Veinte de Noviembre
7,59,3131,025A,El Tepeyac
7,61,213,192,Vicente Guerrero (Matamoros)
7,61,314,154,El Aguacero
7,61,655,192,Ojo de Agua
7,62,32,39,Catedral 1ra. Sección
7,63,8,17,Libertad Campesina
7,65,64,223,Lindavista (Chiniquijá)
7,65,76,280,Nueva Betania
7,65,118,172,Babilonia
7,65,211,312,Augusto Gómez Villanueva
7,65,220,219,El Desierto
7,65,609,280,Chocoljaíto
7,65,625,308,José María Morelos y Pavón
7,65,1230,308,Arroyo Jerusalén
7,65,1375,308,Alfredo V. Bonfil
7,67,20,16,Liquidámbar
7,68,99,70,Los Cascabeles
7,68,102,28,Platanar Abajo 2da. Sección (Unidad Chiapaneca)
7,69,24,114,Joaquín Miguel Gutiérrez (Margaritas)
7,69,25,148,Los Limones
7,69,186,44,Benito Juárez
7,69,468,129,El Vergel
7,69,1641,44,Isla San José
7,69,1834,114,Unidad Puente de las Margaritas (Loma Bonita)
7,69,1837,63,Nuevo Milenio Santa Cruz la Central
7,71,9,42,Buenavista
7,71,22,42,Hidalgo
7,71,32,38,Cantón el Progreso
7,71,45,38,Zacualpa
7,71,59,42,El Escobo
7,71,221,38,Altamira Uno
7,71,231,38,San Miguel
7,73,7,28,Manzanillo Pinabeto
7,74,12,10,Macayo 1ra. Sección (Las Mercedes)
7,74,14,10,Macayo 3ra. Sección
7,75,36,56,San Mateo
7,75,45,60,Zacualpa
7,75,60,60,El Chipilinar
7,75,67,60,San Antonio el Paraje
7,75,104,41,Cruz Morales
7,75,107,41,Nuevo Tepeyac
7,77,94,135,El Tortuguero 1ra. Sección
7,77,516,84,Primero de Enero
7,78,36,113,La Sierra
7,78,39,113,Yashitinín
7,78,67,96,Agua de Pajarito
7,78,77,113,Guadalupe Shuncalá
7,78,109,001A,Río Arcotete
7,78,121,113,Buenavista
7,78,157,128,Campo Grande
7,78,202,109,Las Rocas
7,79,102,36,Tankah Pakbal
7,83,46,43,Doctor Belisario Domínguez
7,83,50,39,Nuevo Tamaulipas
7,83,129,24,El Sabinal
7,83,191,81,Miramar
7,83,197,81,Tierra y Libertad
7,83,210,81,San Pedro Pedernal
7,87,11,61,Ignacio López Rayón
